data,natureza_acidente,bairro,conservacao_via,pedestre,veiculos
2020-01-01,SEM VÍTIMA,CORDEIRO,Perfeito estado,0,2
2020-01-01,SEM VÍTIMA,AREIAS,Perfeito estado,0,2
2020-01-01,SEM VÍTIMA,BOA VIAGEM,Perfeito estado,0,2
2020-01-01,SEM VÍTIMA,PAISSANDU,Perfeito estado,0,2
2020-01-01,SEM VÍTIMA,BARRO,Mal conservada,0,2
2020-01-01,SEM VÍTIMA,PINA,Perfeito estado,0,1
2020-01-01,COM VÍTIMA,PINA,Perfeito estado,0,1
2020-01-01,COM VÍTIMA,MADALENA,Perfeito estado,0,1
2020-01-01,SEM VÍTIMA,NOVA DESCOBERTA,Perfeito estado,0,2
2020-01-01,SEM VÍTIMA,ROSARINHO,Perfeito estado,0,2
2020-01-01,SEM VÍTIMA,TORRÕES,Perfeito estado,0,2
2020-01-01,SEM VÍTIMA,BOMBA DO HEMETÉRIO,Perfeito estado,0,2
2020-01-01,SEM VÍTIMA,SAN MARTIN,Perfeito estado,0,2
2020-01-01,COM VÍTIMA,BOA VIAGEM,Perfeito estado,0,2
2020-01-01,SEM VÍTIMA,CORDEIRO,Perfeito estado,0,2
2020-01-02,COM VÍTIMA,AREIAS,Perfeito estado,0,2
2020-01-02,SEM VÍTIMA,PAISSANDU,Perfeito estado,0,2
2020-01-02,SEM VÍTIMA,IPSEP,Perfeito estado,0,2
2020-01-02,SEM VÍTIMA,MADALENA,Perfeito estado,0,2
2020-01-02,SEM VÍTIMA,IMBIRIBEIRA,Perfeito estado,0,2
2020-01-02,SEM VÍTIMA,AFOGADOS,Perfeito estado,0,2
2020-01-02,COM VÍTIMA,BARRO,Mal conservada,0,2
2020-01-02,COM VÍTIMA,BOA VIAGEM,Perfeito estado,0,2
2020-01-02,SEM VÍTIMA,JORDÃO,Perfeito estado,0,2
2020-01-02,SEM VÍTIMA,BOA VIAGEM,Perfeito estado,0,2
2020-01-02,SEM VÍTIMA,PORTO DA MADEIRA,Perfeito estado,0,2
2020-01-02,COM VÍTIMA,PRADO,Perfeito estado,0,2
2020-01-02,SEM VÍTIMA,ILHA DO RETIRO,Perfeito estado,0,2
2020-01-02,COM VÍTIMA,IPUTINGA,Perfeito estado,0,2
2020-01-02,COM VÍTIMA,FUNDÃO,Perfeito estado,0,2
2020-01-02,SEM VÍTIMA,MACAXEIRA,Perfeito estado,0,2
2020-01-02,SEM VÍTIMA,BOA VIAGEM,Perfeito estado,0,2
2020-01-02,SEM VÍTIMA,BAIRRO DO RECIFE,Mal iluminada,0,2
2020-01-02,SEM VÍTIMA,IMBIRIBEIRA,Perfeito estado,0,2
2020-01-02,COM VÍTIMA,MADALENA,Perfeito estado,0,3
2020-01-02,COM VÍTIMA,BONGI,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,CORDEIRO,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,IMBIRIBEIRA,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,ENCRUZILHADA,Perfeito estado,0,2
2020-01-03,COM VÍTIMA,BOA VISTA,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,SÃO JOSÉ,Perfeito estado,0,3
2020-01-03,COM VÍTIMA,IBURA,Perfeito estado,0,3
2020-01-03,SEM VÍTIMA,IMBIRIBEIRA,Perfeito estado,0,3
2020-01-03,COM VÍTIMA,CABANGA,Perfeito estado,0,2
2020-01-03,COM VÍTIMA,BOA VIAGEM,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,PINA,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,IMBIRIBEIRA,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,TORRÕES,Perfeito estado,0,4
2020-01-03,SEM VÍTIMA,BOA VIAGEM,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,AREIAS,Perfeito estado,0,4
2020-01-03,SEM VÍTIMA,FUNDÃO,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,BOA VIAGEM,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,SANTO AMARO,Perfeito estado,0,2
2020-01-03,COM VÍTIMA,BOA VIAGEM,Perfeito estado,0,2
2020-01-03,COM VÍTIMA,APIPUCOS,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,CORDEIRO,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,MADALENA,Perfeito estado,0,2
2020-01-03,COM VÍTIMA,DERBY,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,BOA VIAGEM,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,PRADO,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,ÁGUA FRIA,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,CASA FORTE,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,ESPINHEIRO,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,IMBIRIBEIRA,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,GRAÇAS,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,BOA VIAGEM,Perfeito estado,0,2
2020-01-03,SEM VÍTIMA,IPSEP,Mal iluminada,0,2
2020-01-03,SEM VÍTIMA,AFOGADOS,Perfeito estado,0,2
2020-01-04,SEM VÍTIMA,BOA VIAGEM,Perfeito estado,0,2
2020-01-04,SEM VÍTIMA,SÃO JOSÉ,Perfeito estado,0,2
2020-01-04,COM VÍTIMA,HIPÓDROMO,Perfeito estado,0,2
2020-01-04,SEM VÍTIMA,BOA VIAGEM,Perfeito estado,0,2
2020-01-04,SEM VÍTIMA,LINHA DO TIRO,Perfeito estado,0,2
2020-01-04,SEM VÍTIMA,SANTO AMARO,Perfeito estado,0,2
2020-01-04,SEM VÍTIMA,DERBY,Perfeito estado,0,2
2020-01-04,SEM VÍTIMA,MANGABEIRA,Perfeito estado,0,1
2020-01-04,SEM VÍTIMA,ESPINHEIRO,Perfeito estado,0,2
2020-01-04,SEM VÍTIMA,DERBY,Perfeito estado,0,2
2020-01-04,COM VÍTIMA,IMBIRIBEIRA,Perfeito estado,0,2
2020-01-04,SEM VÍTIMA,CAXANGÁ,Perfeito estado,0,2
2020-01-04,SEM VÍTIMA,MADALENA,Perfeito estado,0,2
2020-01-04,SEM VÍTIMA,CASA AMARELA,Perfeito estado,0,2
2020-01-04,COM VÍTIMA,BOA VIAGEM,Perfeito estado,0,2
2020-01-04,SEM VÍTIMA,JARDIM SÃO PAULO,Mal conservada,0,2
